product_name,product_category,shipment_mode,average_shipment_day
Team Golf St. Louis Cardinals Putter Grip,Accessories,First Class,1
Team Golf Tennessee Volunteers Putter Grip,Accessories,First Class,1
Team Golf Texas Longhorns Putter Grip,Accessories,First Class,1
Team Golf New England Patriots Putter Grip,Accessories,First Class,1
Team Golf Pittsburgh Steelers Putter Grip,Accessories,First Class,1
Team Golf San Francisco Giants Putter Grip,Accessories,First Class,1
Team Golf New England Patriots Putter Grip,Accessories,Same Day,3
Team Golf St. Louis Cardinals Putter Grip,Accessories,Same Day,3
Team Golf Texas Longhorns Putter Grip,Accessories,Same Day,3
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Same Day,3
Team Golf San Francisco Giants Putter Grip,Accessories,Same Day,3
Team Golf New England Patriots Putter Grip,Accessories,Second Class,2
Team Golf St. Louis Cardinals Putter Grip,Accessories,Second Class,2
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Second Class,2
Team Golf San Francisco Giants Putter Grip,Accessories,Second Class,2
Team Golf Tennessee Volunteers Putter Grip,Accessories,Second Class,2
Team Golf Texas Longhorns Putter Grip,Accessories,Second Class,2
Team Golf St. Louis Cardinals Putter Grip,Accessories,Standard Class,4
Team Golf New England Patriots Putter Grip,Accessories,Standard Class,4
Team Golf Tennessee Volunteers Putter Grip,Accessories,Standard Class,4
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Standard Class,4
Team Golf San Francisco Giants Putter Grip,Accessories,Standard Class,4
Team Golf Texas Longhorns Putter Grip,Accessories,Standard Class,4
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,First Class,1
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Same Day,3
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Second Class,2
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Standard Class,4
Baby sweater,Baby,First Class,1
Baby sweater,Baby,Same Day,3
Baby sweater,Baby,Second Class,2
Baby sweater,Baby,Standard Class,4
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,First Class,1
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,First Class,1
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,First Class,1
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,Same Day,3
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Same Day,3
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Same Day,3
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Second Class,2
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,Second Class,2
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Second Class,2
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Standard Class,4
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Standard Class,4
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,Standard Class,4
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,First Class,1
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Second Class,2
Diamondback Boys' Insight 24 Performance Hybr,Basketball,Second Class,2
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Standard Class,4
Diamondback Boys' Insight 24 Performance Hybr,Basketball,Standard Class,4
Sports Books,Books,First Class,1
Sports Books,Books,Same Day,3
Sports Books,Books,Second Class,2
Sports Books,Books,Standard Class,4
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,First Class,1
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,First Class,1
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,First Class,1
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Same Day,3
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Same Day,3
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Second Class,2
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Second Class,2
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Second Class,2
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Standard Class,4
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Standard Class,4
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Standard Class,4
Web Camera,Cameras,First Class,1
Web Camera,Cameras,Same Day,3
Web Camera,Cameras,Second Class,2
Web Camera,Cameras,Standard Class,4
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,First Class,1
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Same Day,3
